"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)",ham
U can call now...,ham
"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",ham
Yes. I come to nyc for audiitions and am trying to relocate.,ham
I pocked you up there before,ham
Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing,ham
I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),ham
Hey mr whats the name of that bill brison book the one about language and words ,ham
"Okay, good, no problem, and thanx!",ham
"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",ham
Call me when u're done...,ham
G.W.R,ham
You best watch what you say cause I get drunk as a motherfucker,ham
Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,spam
"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam
Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham
"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",ham
Are there TA jobs available? Let me know please cos i really need to start working,ham
Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,ham
Yup i'm free...,ham
"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",ham
Yo come over carlos will be here soon,ham
Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,ham
I guess it is useless calling u 4 something important.,ham
Ha ha - had popped down to the loo when you hello-ed me. Hello!,ham
He dint tell anything. He is angry on me that why you told to abi.,ham
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam
It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,ham
I keep ten rs in my shelf:) buy two egg.,ham
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",ham
Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ham
Captain is in our room:),ham
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",ham
HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,ham
S...i will take mokka players only:),ham
Are you still playing with gautham?,ham
Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish ,ham
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham
Sorry . I will be able to get to you. See you in the morning.,ham
Aight well keep me informed,ham
I am not having her number sir,ham
Am only searching for good dual sim mobile pa.,ham
That seems unnecessarily hostile,ham
Dude got a haircut. Now its breezy up there,ham
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
i thought we were doing a king of the hill thing there.,ham
Nope i'll come online now..,ham
ALSO TELL HIM I SAID HAPPY BIRTHDAY,ham
Y bishan lei... I tot ü say lavender? ,ham
Boo what time u get out? U were supposed to take me shopping today. :(,ham
"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",ham
"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",ham
on a Tuesday night r u 4 real,ham
Yes when is the appt again?,ham
Just got outta class gonna go gym.,ham
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,ham
Ü all write or wat..,ham
Ha! I wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!,ham
Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,ham
Hi:)did you asked to waheeda fathima about leave?,ham
Enjoy urself tmr...,ham
You still around? I could use a half-8th,ham
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam
You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,ham
Ü bot notes oredi... Cos i juz rem i got...,ham
Yes. Rent is very expensive so its the way we save.,ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
Hows the pain dear?y r u smiling?,ham
"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",ham
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
"Sorry, I can't help you on this.",ham
Great. So should i send you my account number.,ham
"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",ham
"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",spam
Ü only send me the contents page...,ham
"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! ",ham
"Don't Think About ""What u Have Got"" Think About ""How to Use It That You Have Got"" gooD ni8",ham
"I can't right this second, gotta hit people up first",ham
"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",ham
So what about you. What do you remember,ham
Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,ham
Mm yes dear look how i am hugging you both. :-P,ham
I like dis sweater fr mango but no more my size already so irritating.,ham
1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible,ham
Anytime lor...,ham
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,spam
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham
"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",spam
Me fine..absolutly fine,ham
K and you're sure I don't have to have consent forms to do it :V,ham
Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,spam
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",spam
How much is torch in 9ja.,ham
"Doing nothing, then u not having dinner w us?",ham
How are you. Just checking up on you,ham
Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.,ham
Mathews or tait or edwards or anderson,ham
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,ham
No need lar i go engin? Cos my sis at arts today...,ham
Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,ham
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,spam
", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, ",ham
S.i'm watching it in live..,ham
"see you then, we're all christmassy here!",ham
"K I'm ready,  &lt;#&gt; ?",ham
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,ham
what are your new years plans?,ham
RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,spam
Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!,ham
"Only just got this message, not ignoring you. Yes, i was. Shopping that is",ham
Dear :-/ why you mood off. I cant drive so i brother to drive,ham
When did dad get back.,ham
"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",ham
Yes just finished watching days of our lives. I love it.,ham
Juz go google n search 4 qet...,ham
Many times we lose our best ones bcoz we are ,ham
"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",ham
Just getting back home,ham
"Sorry, I'll call later  &lt;#&gt; mins",ham
Dun need to use dial up juz open da browser n surf...,ham
As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,spam
"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",ham
Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.,ham
"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",spam
You also didnt get na hi hi hi hi hi,ham
Ya but it cant display internal subs so i gotta extract them,ham
If i said anything wrong sorry de:-),ham
Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,ham
How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,ham
"Yeah I should be able to, I'll text you when I'm ready to meet up",ham
V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,ham
" says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",ham
"When you get free, call me",ham
How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already …,ham
Ok i msg u b4 i leave my house.,ham
Still at west coast... Haiz... Ü'll take forever to come back...,ham
MMM ... Fuck .... Merry Christmas to me,ham
alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,ham
Update your face book status frequently :),ham
Just now saw your message.it k da:),ham
Was it something u ate?,ham
So what did the bank say about the money?,ham
Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,ham
Hey they r not watching movie tonight so i'll prob b home early...,ham
Yar lor... How u noe? U used dat route too?,ham
2mro i am not coming to gym machan. Goodnight.,ham
Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,ham
Can u look 4 me in da lib i got stuff havent finish yet.,ham
Sounds great! Im going to sleep now. Have a good night!,ham
Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,spam
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham
How come u got nothing to do?,ham
Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love,ham
i want to grasp your pretty booty :),ham
I've got it down to a tea. not sure which flavour,ham
I'm going 2 orchard now laready me reaching soon. U reaching?,ham
Dear i am not denying your words please,ham
You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,ham
COME BACK TO TAMPA FFFFUUUUUUU,ham
"2 celebrate my bday, y else?",ham
Merry christmas to u too annie!,ham
Please tell me you have some of that special stock you were talking about,ham
I sent them. Do you like?,ham
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam
"Awesome, be there in a minute",ham
"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.",ham
I've told you everything will stop. Just dont let her get dehydrated.,ham
Or I guess  &lt;#&gt;  min,ham
I'm home. Ard wat time will u reach?,ham
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",ham
"If you want to mapquest it or something look up ""usf dogwood drive"", that's the tiny street where the parking lot is",ham
Aight should I just plan to come up later tonight?,ham
